Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
375,-4957.5,1088.566,62.818,193
376,-208.5,265.012,35.36,237
377,-249.0,241.276,31.124,232
378,-1018.5,311.504,30.076,255
379,-4666.5,1041.742,40.672,237
380,-9807.0,1639.322,51.958,212
381,-5072.5,782.804,39.538,218
382,-2584.5,531.674,29.988,231
383,-6823.5,1703.396,37.94,219
384,-3287.5,632.664,41.284,225
385,-2242.0,484.792,35.33,232
386,-2040.5,449.774,36.622,253
387,-261.0,415.04,46.342,230
388,-773.0,324.856,35.134,227
389,-10443.0,1633.286,57.98,166
390,-4841.0,1123.222,76.272,164
391,-18566.0,3915.972,82.682,129
392,-7081.5,1388.982,75.124,135
393,-14375.0,2237.262,83.768,101
394,-3997.0,895.438,56.946,191
395,-8688.5,1397.448,71.788,159
396,-210.0,234.134,33.612,248
397,-122.0,219.452,31.056,248
398,-843.0,299.274,31.124,236
399,110.0,156.83,27.304,247
400,-1028.5,349.966,38.896,248
401,54.0,180.016,31.264,251
402,-560.0,297.912,35.23,249
403,-451.5,304.228,36.656,245
404,-529.0,284.834,37.088,249
405,-827.0,373.656,45.65,249
406,-777.0,360.77,42.812,248
407,-2228.5,542.45,42.234,237
408,-1519.0,445.892,40.066,247
409,-1085.5,373.87,39.686,256
410,-4272.0,850.232,47.596,236
411,-3050.5,630.536,34.38,273
412,-2724.0,559.278,37.38,248
413,-9042.5,1615.792,49.856,224
414,-951.0,484.498,51.334,195
415,71.5,251.502,39.232,244
416,-11739.5,1722.078,69.986,167
417,54.5,211.548,35.49,263
418,-8880.0,1563.002,81.498,87
419,-2042.0,463.954,35.754,233
420,9.5,250.858,36.834,234
421,-275.0,226.522,30.892,235
422,-1137.5,365.824,37.762,246
423,-1138.5,411.688,44.082,240
424,-465.0,330.164,43.71,230
425,-192.5,312.27,39.836,246
426,-453.5,348.932,47.526,235
427,-246.0,235.014,37.232,248
428,-1526.0,493.02,46.556,243
429,-1951.0,549.044,51.292,235
430,-6505.5,1144.09,53.832,168
431,-168.0,195.564,28.756,260
432,-31.0,220.006,35.658,235
433,-1643.0,490.622,46.778,223
434,-6212.5,1180.932,54.664,195
435,-1190.0,415.5,42.364,239
436,-2054.5,727.842,55.946,189
437,-103.5,243.256,39.016,243
438,-5428.0,1208.994,77.024,113
439,-909.0,341.19,34.876,252
440,-1011.0,401.964,43.858,216
441,-306.0,307.274,38.35,239
442,-163.0,174.112,27.08,241
443,-209.5,148.738,22.746,247
444,-942.0,333.458,33.64,252
445,-356.5,232.554,31.78,241
446,-515.0,243.224,29.228,239
447,-924.5,353.88,39.112,222
448,-667.0,278.71,30.732,227
449,-267.0,221.97,30.516,262
450,-630.0,267.96,34.5,252
451,-420.0,283.83,39.66,247
452,-789.0,324.396,37.586,243
453,-46.0,150.662,26.022,246
454,-582.0,303.514,43.302,236
455,-607.5,249.616,30.832,241
456,177.5,176.118,31.964,247
457,-51.5,196.686,31.104,248
458,-872.5,334.912,37.67,228
459,-152.5,224.34,34.21,228
460,-1303.0,394.756,41.238,242
461,-467.5,246.026,32.774,252
462,-709.5,305.538,38.454,229
463,-1254.0,481.482,47.392,180
464,-24.5,226.568,36.054,216
465,168.5,272.706,41.39,206
466,159.0,245.654,41.042,232
467,-378.0,285.54,40.244,236
468,248.0,112.166,26.264,251
469,-45.0,195.192,33.488,237
470,40.5,201.67,32.564,240
471,-118.5,184.97,31.068,252
472,-39.0,174.862,29.266,256
473,-949.0,303.244,32.958,247
474,-1518.0,446.886,43.988,226
475,50.0,203.65,32.562,227
476,-210.0,233.962,34.986,237
477,-458.5,260.396,35.092,239
478,-203.0,272.83,38.972,253
479,-221.0,300.656,41.438,250
480,-6172.0,1109.636,53.13,212
481,16.5,198.104,32.922,245
482,140.0,230.2,36.456,219
483,-3946.0,800.656,53.166,166
484,-970.0,306.63,28.286,214
485,-1336.5,330.914,30.038,243
486,-76.5,210.166,31.494,248
487,-289.0,284.546,33.202,247
488,-196.0,255.098,35.194,238
489,-626.0,318.7,36.082,240
490,227.5,173.332,33.302,251
491,-92.0,218.294,34.268,255
492,35.0,168.852,27.34,246
493,-970.0,348.75,40.598,239
494,-449.0,288.358,38.026,254
495,-511.0,311.608,40.558,236
496,16.5,177.146,32.076,264
497,-115.5,227.094,35.348,263
498,-558.0,291.024,37.848,245
499,-215.0,307.494,43.872,250
500,-1219.5,429.622,43.624,238
